Video_ID,Author,Date,Komentar
rOvhjhEbopo,@gurugembul,2023-07-10T06:17:03Z,"silahkan curhatkan keluh kesah baraya di kolom komentar, semoga kementrian dan semua pihak yang terlibat di dunia pendidikan membacanya"
rOvhjhEbopo,@KamtoCL,2026-04-27T10:22:00Z,"Yang rusak dari kurikulum merusak moral anak bangsa, seharusnya anak kita itu jauh lebih cerdas dari anak anak th 80an karena udah di dukung Gisi yang lumayan tapi fakta nya pendidikan kita turun jauh apalagi moral jatuh"
rOvhjhEbopo,@KamtoCL,2026-04-27T10:15:42Z,Pendidikan sekarang tidak mutu kurikulum merdeka kurikulum cengoh
rOvhjhEbopo,@binomorgan7025,2025-12-23T04:54:04Z,Kurikulum merdeka gagal total. Bikin semua anak2 Indonesia bodoh sampai 10 generasi😅
rOvhjhEbopo,@El-kt3oz,2025-11-21T11:51:28Z,terimakasih Bapak Mentri buat bantuan berupa smart Tv nya
rOvhjhEbopo,@BarinDo-o4q,2025-06-29T04:26:16Z,"Pengetahuan dasar setiap anak Indonesia adalah, membaca menulis, matematika, bahasa Indonesia dan bahasa Inggris. Extra adalah budi pekerti."
rOvhjhEbopo,@SwaralangitMusik,2025-06-15T13:31:47Z,"Saat membuat soal ulangan, kenapa masih banyak Guru, tidak membuat soal dari buku modul yang sudah diajarkan? Tetapi langsung download dari internet, apakah karena Gurunya males?"
rOvhjhEbopo,@amronallagan,2025-06-15T10:18:31Z,"Siswa saya di kelas 4, ada yang sama sekali belum bisa membaca. Diawal Semester 1 saya sudah coba untuk memberikan tambahan les membaca, namun sepertinya sampai saat ini, diakhir Semester 2. anak tersebut baru bisa mengeja.
Pertanyaanya, bolehkah siswa saya ini tidak dinaikan kelas? 
Saya berpikir akan naik kelas dengan syarat saat siswa ini sudah lancar membaca.


Kasus ke dua, 
Ada siswa saya selama 2 bulan tidak masuk kelas, tidak ada kabar, dan menurut informasi temannya dia sudah pindah rumah. tiga minggu sebelum ulangan akhir semester 2, anak ini Kembali lagi ke sekolah.
Menurut teman-teman, apakah siswa ini boleh dinaikkan kelas?
Dengan kemampuan akademik yang jauh dibawah rata-rata.
Terima kasih sebelumnya untuk masukkannya 🙏🏻🙏🏻🙏🏻"
rOvhjhEbopo,@SumariyahSorong-gx2dx,2025-06-05T17:18:59Z,Pak itu raport. Kan hrs pakek komputer kalok di kampong yg tdk ada wfi listrik tdk ada. Komputer gemana ketimpangan lah pak
rOvhjhEbopo,@SumariyahSorong-gx2dx,2025-06-05T17:16:34Z,Pak hrs nyaseragamkn semua sekolah  itu sama
rOvhjhEbopo,@udinaja5394,2025-04-14T08:49:40Z,ganti itu kurikulum LGBT
rOvhjhEbopo,@kangwardono9622,2025-02-27T11:00:44Z,GURUNYA SAJA YANG MERDEKA.....MURID SAMA ORANG TUA ANAK MURID MALAH DIKASIH KERJAAN BANYAK...AKHIRNYA ORANG TUANYA SENDIRI YANG HARUS MENJELASKAN DAN MEMAHAMKAN....BERUNTUNG YANG ORANG TUANNYA PENDIDIKAN TINGGI YANG ORANG TUANYA TIDAK PENDIDIKAN TINGGI YA TAMBAH KETINGGALAN
rOvhjhEbopo,@achmadsyehabudin3417,2025-02-11T04:58:56Z,"Mohon dimasukkan kembali dalam kurikulum, materi G 30S/PKI. Dlm kurikulum 2013 dan kurikulum merdeka sudah tidak ada. Banyak anak2 banyak tidak sejarah bangsanya"
rOvhjhEbopo,@FlymeID,2025-01-12T14:50:51Z,Catat 14:23
rOvhjhEbopo,@dojosamuraikrw,2024-11-20T01:12:37Z,"Gemblung cari panggung

Dalilnya ""menurut saya"""
rOvhjhEbopo,@Tomilovecats,2024-11-20T01:09:30Z,Blm bisa diterapkan kalo disamakan dgn finlandia jauh bro kudu disesuaikan kondisi negara ini
rOvhjhEbopo,@flowergenerations,2024-10-30T13:26:51Z,Bro guru... saya mengkhayal sekolah tanpa batasan yang mana ikuti module2 tertentu dan disertifikasi serta diakui pemerintah..siapapun dimanapun bisa belajar tanpa batas baik waktu maupun usia..
rOvhjhEbopo,@TarjoSugiana,2024-10-30T12:24:34Z,"Selama Indonedia belum punya internet sendiri ( masih ngontrak) pasti internet diseduaikan dengan banyak kepentingan nrgara yang punya internet.
Masalah mutu pendidikan di Indonesia, selama pendidikan berbasis projek diseduaikan dengan kepentingan penguasa, kelompok, bahkan pribadi dan keluarga, jauh dari tujuan di pembukaan UUD 1945 yaitu mencerdaskan kehidupan bangsa.
Kurikulum berubah itu hal yang wajar disesuaikan dengdn perkembsngan zaman, yang penting :
1. Pendidikan dimulai dari lingkungan keluarga, gurunya ibu dan bapaknya bahkan harus dimulai dalam kandungan.
2. Peran lingkungan sekitar tempat tinggal anak dan orangtua.
Lingkungan sekarang sudah kurang peduli lagi terhadap pendidikan anak, bahkan orangtua sendiri banyak yang kurang perhatian atad penfidikan anaknya bahkan ada yang salah aduhan.
3. Lingkungan sekolah dan kuslitas manajemen sekolah dsn kualitas gurunya.
4. Kesejahteraan gutunya, bagaimana guru mau fokus terhadap tugas profesional kalau kebutuhdn dadar hidup dan keluarganya masih jauh dari layak.
5. Baru tingjatka kualitas output pendidikan yang disebut mutu SDM yang nantinya jadi pelaku
pembangunan di segala bidang
( Poldksosbudhankam).
Kuslitas output lulusan tiap jenjang pendidikan :
a. Kompetensi literasi
b. Kompeten numerasi.
c. Kompetensi sains dsn teknologi
Semua ini harus berbasis nilai, etika, estetika sehingga mendotong jecerdasan IQ, EQ, dan SQ sesuai dengan kebutuhan dunia kerja dan dunia usaha."
rOvhjhEbopo,@kartono9917,2024-10-28T11:32:26Z,Terlalu sulit untuk dilaksanakan oleh guru maupun sekolah....
rOvhjhEbopo,@buasniwardani,2024-10-23T14:17:20Z,"bnyak cerita2 sedih  guru2 yg mengajar di sekolah swasta, tapi untuk ketik di sini ada rasa takut"
rOvhjhEbopo,@KampungTeh,2024-10-23T11:34:28Z,Seharusnya pengawas sekolah harus paham kurikulum merdeka
rOvhjhEbopo,@KampungTeh,2024-10-23T11:32:52Z,Bener kkm buat guru bnyak ngatur nilai. Terus kemudian guru honorer gaji di sekolah desa sangat minim tetapi tugas administrasi sangat banyak sehingga kurang fokus mengajar
rOvhjhEbopo,@edupaind,2024-10-21T13:21:59Z,"Gagasan Kurikulum merdeka itu bagus, tapi implementasinya perlu evaluasi total dilapangannya. Karena pola pikir masyarakat kita belum siap dengan pemahaman baru pada kurikulum merdeka."
rOvhjhEbopo,@SaefulHalim,2024-10-17T14:43:18Z,Kurikulum merdeka menjadi kurikulum pembodohan
rOvhjhEbopo,@iputusuardana9963,2024-09-29T07:36:12Z,Kurner menyebabkan siswa-siswi makin nglonjak.... ... Efek diurus oleh org tahu pendidikan dgbTeori melangit tak ada implementasi postifnya
rOvhjhEbopo,@iputusuardana9963,2024-09-29T07:33:53Z,Kurmer dan CGP adalah program Pembodohan dan Penuh diskriminasi.... Program kualatttttt
rOvhjhEbopo,@erriwibowo,2024-09-27T00:34:43Z,"Anak sekarang gak pernah baca kesusatraan. Padahal buku sudah saya belikan bejobun dr siti nurbaya salah asuhan lengkap. Saya tanya apakah pernah sekali saja di sekolah disuruh baca buku kesusastraan, hanya gelengan lemah saja. Itu dr anak paling besar sampai paling kecil. Yg sudah sarjana sampai masih sma."
rOvhjhEbopo,@erriwibowo,2024-09-27T00:18:07Z,"Sekolah masih gagap untuk implementasi ini. Misalkan ada pertunjukan drama yang hatus disiapkan murid bermingu2 oleh kelas anak xi, tapi setelah saya tanyakan apakah ada teori cara membuat naskah drama yang baik, atau sessi diskusi cara buat naskah, anak saya geleng2. Merdeka aja tanpa arahan dan bimbingan wkwkwk"
rOvhjhEbopo,@viadyastellatololiu,2024-09-26T23:30:24Z,"Sebenarnya yang harus dikaji kurikulum pendidikan di tingkat universitas.. 

Banyak lulusan keluar buat RPP dasar aja belum bisa, KKO gak nempel kuat..

Kenapa buat Jurusan Pendidikan 😅"
rOvhjhEbopo,@arissetiawan257,2024-09-26T08:24:57Z,"Kurikulum merdeka bgus tp ad kendala jk dtrapkn di lapangan misal :
1. Ketika Kurikulum dibuat fleksibel tp jam kerja guru tdk bisa fleksibel jg jd gk sinkron. 
2. Penilaian d lapangan msih ttp mengacu KKM atau Nilai Tinggi unt smua pljrn.
3. Ad kendala ktka guru menerapkan ketegasan peraturan sekolah. 
Hal-hal ini mngkn yg bisa mjd pnyebab rasio guru laki- laki mjd berkurang. Bisa cb dtnyakan k siswa brp bnyk kira"" yg mau mjd guru,, aplg yg laki-laki. Semoga ini mjd koreksi kita bersama."
rOvhjhEbopo,@syarifhidayat4615,2024-09-25T16:51:41Z,Apakah sudah ada penelitian bhw penilaian yg dilakukan di skolah yg dibakukan dlm bntuk nilai rapot adalah benar2 objektif yg mnggambarkan pencapaian kompetensi oleh siswa ? Atau nilai rapot hanya rekayasa saja utk menaikan prestise skolah ?
rOvhjhEbopo,@baktimuhammad4962,2024-09-25T12:27:03Z,Bwaha
rOvhjhEbopo,@liksdegei3515,2024-09-25T09:46:39Z,"Kenapa ambil contoh plan utk mengajar manusia, di bandingkan dengan bangun bangunan"
rOvhjhEbopo,@Alamlestari.9,2024-09-25T06:49:41Z,pak guru gembul sangat layak menjadi menteri pandidikan...
rOvhjhEbopo,@idhamhaliq5262,2024-09-24T12:46:46Z,kembalikan guru menjdi vertikal di bawahi kementrian pendidikan bkn pemda agar koordinasi lbih mudah seperti guru agama dari kemenag..
rOvhjhEbopo,@dojosamuraikrw,2024-09-20T00:26:03Z,Gombal mblung
rOvhjhEbopo,@Hbdrsyhueio,2024-09-19T06:43:31Z,Kurmer=kurikulum proyek
rOvhjhEbopo,@diniarti7154,2024-09-17T04:32:58Z,Merdeka belajar yaa..nggak belajar😅
rOvhjhEbopo,@Ridwan-y5d,2024-09-16T13:54:25Z,"Yg membuat pendidikan di indonesia semakin semrawut krn kurikulum yg di gonta ganti, atau mungkin bpk itu terlalu rumit titelnya ahirnya otaknya kacau."
rOvhjhEbopo,@silvilia1602,2024-09-16T11:40:04Z,"Pak guru, mohon pencerahan 🙏 :
Utk sekolah swasta apa juga di bawah kementrian pusat? Skolah swasta rata² pake sistem full day. Itu dampak utk anak² usia dibawah 10 tahun (usia bermain) bagaimana pak guru? 
Lalu, dlm hal ini sya ingin memlilihkan skolah anak ke SD Negeri yg waktu belajarnya masih disesuaikan dg tingkatan kelas nya. sedangkan SDN skarang pake sistem zonasi, & hal itu belum tentu meloloskan anak kami utk bisa masuk ke sekolah Negeri. Mohon saran, masukan & pencerahannya ya pak Guru 🙏"
rOvhjhEbopo,@bibianakewa5622,2024-09-14T13:47:14Z,Mntap guru gembul  bisa berbgi
rOvhjhEbopo,@sadewa3178,2024-09-14T07:17:29Z,Hanya sekedar saran...bikin pelajaran tentang moral etika dan anti korupsi dari jenjang SD smpai Perguruan tinggi
rOvhjhEbopo,@nurachmat9506,2024-09-11T07:11:22Z,Sedikit banyak sebagai orang tua menangkap dan mengerti apa itu kurikulum merdeka walaupun belum bisa membayangkan bagaimana seharusnya pengertian itu disampaikan pada anak didik sehingga membentuk anak didik mengubah cara belajarnya.
rOvhjhEbopo,@gunberbagi,2024-09-10T15:17:35Z,Konsep kurikulum merdeka mantap jika guru paham dalam memaknai merdeka belajar
rOvhjhEbopo,@gunberbagi,2024-09-10T15:16:34Z,"Titik point utama berada pada guru dalam memahami makna merdeka belajar dalam kurikulum merdeka, jika guru belum sampai memahami dan hanya berdasarkan text book maka merdeka belajar dalam penerapan kurikulum merdeka tidak akan terwujud, akhirnya murid tidak akan mendapatkan pelayanan pendidikan berupa proses pembelajaran yang berkualitas"
rOvhjhEbopo,@rifqiaji5031,2024-09-10T15:13:46Z,"bagus konsepnya gitu toh, kok bnyk yg protes"
rOvhjhEbopo,@dianaherawati5809,2024-09-08T10:15:39Z,"Dari Pusat sebenarnya bagus lho, tapi ketika di lapangan....banyak dipengaruhi oleh banyak faktor. Ini yg berat sekali untuk melaksanakan. Faktor Kepala Sekolah dan guru tentunya.....termasuk karakater mereka juga. Sulit sekali.......tapi bagi guru yg mau bekerja keras tetap hrs jalan dan semangat demi masa depan anak bangsa."
rOvhjhEbopo,@FadlullohFirdaus2410,2024-09-06T01:12:21Z,Justru diterapkan kurikulum merdeka etika peserta didik makin hancur dan pendidikan di Indonesia tidak berhasil berarti
rOvhjhEbopo,@FadlullohFirdaus2410,2024-09-06T01:11:05Z,Jadi pertanyaan besar kalau diterapkan kurikulum merdeka pemerintah harus mempertimbangkan daerah-daerah yang jauh dari teknologi dan bagaimana cara mengatasinya?
rOvhjhEbopo,@Galon_berjalan86,2024-08-20T13:09:11Z,Ironis sekali pendidikan berdasar pada pengembangan karakter mind set murid murid dan teman di sekolah ku seolah tak peduli terhadap pendidikan dan pendalaman gurunya pada cara mendidik pada kurikulum merdeka berbeda jauh dari yang ada di sini😂
rOvhjhEbopo,@MinartoMinarto-j4r,2024-07-28T11:28:10Z,Mantaap...baraya...😅
rOvhjhEbopo,@alfonsiusowagai6621,2024-07-26T18:58:07Z,Indonesia tdk pendidikan jd maklum 😂
rOvhjhEbopo,@leedongtin1478,2024-07-25T12:15:29Z,"Sependek isi otak saya, saya ga nemu intinya.. Loading terus kayak kuota hp saya yg muter2 terus dari tadi."
rOvhjhEbopo,@kartono9917,2024-07-23T09:29:55Z,Kurikulum apapun bentuknya...masih tetap butuh dana besar ....yg harus disediakan oleh APBN kita ...
rOvhjhEbopo,@AriWijaya-m6u,2024-07-22T13:08:28Z,Kenapa baru sekarang...... kemarin 4 tahun yang lalu masih dungu..... sekarang kebanyakan stress.. statement nya.... maklum kebanyakan penumpang yang order..... sensasional... hehehe makin top kegilaannya....
rOvhjhEbopo,@ditampaksiring8001,2024-07-19T09:31:45Z,Sistem zona sebenarnya bagus.cm penerapan zonasinya salah.zona itu tujuan utk jarak yg dekat utk akses mudah anak ke sekolah.jalan kaki maupun naik sepeda.sekolah2 swasta yg dl mangkrak harusnya jg dipakek utk sekolah negeri.agar bisa menampung sehingga ga terjadi penumpukan siswa.
rOvhjhEbopo,@claristamukin4311,2024-07-12T23:42:38Z,Enggak usah ngeluh kalau siswanya tak bisa berbuat apa apa. Karena itu yg diinginkan  atau menjadi fokus oleh kurikulum merdeka....Kembali ke KTSP
rOvhjhEbopo,@sumaryes603,2024-06-28T13:51:37Z,Untuk sma tujuan utama masuk PTN untuk SNBP semua siswa menghadapai soal yang sama bagaimana dengan pembelajaran kurikulum merdeka dengan kesiapan siswa untuk study lanjut (PTN ) tidak sejalan
